Ticker,Name,Exchange,exchangeDisplay,Type,TypeDisplay
B,Barnes Group Inc.,NYQ,NYSE,S,Equity
BA,The Boeing Company,NYQ,NYSE,S,Equity
BAC,Bank of America Corporation,NYQ,NYSE,S,Equity
BABA,Alibaba Group Holding Limited,NYS,NYSE,S,Equity
BP,BP PLC,NYQ,NYSE,S,Equity
BRK-B,Berkshire Hathaway Inc.,NYQ,NYSE,S,Equity
BYND,"Beyond Meat, Inc.",NMS,NASDAQ,S,Equity
AVGO,Broadcom Inc.,NGM,NASDAQ,S,Equity
BIOC,"Biocept, Inc.",NMS,NASDAQ,S,Equity
GOLD,Barrick Gold Corporation,NMS,NASDAQ,S,Equity
C,Citigroup Inc.,NYQ,NYSE,S,Equity
CCL,Carnival Corporation & Plc,NYQ,NYSE,S,Equity
CODX,"Co-Diagnostics, Inc.",NMS,NASDAQ,S,Equity
CL,Colgate-Palmolive Company,NYQ,NYSE,S,Equity
CHK,Chesapeake Energy Corporation,NYQ,NYSE,S,Equity
CVX,Chevron Corporation,NYQ,NYSE,S,Equity
COST,Costco Wholesale Corporation,NMS,NASDAQ,S,Equity
CSCO,"Cisco Systems, Inc.",NMS,NASDAQ,S,Equity
COCP,"Cocrystal Pharma, Inc.",OBB,OTC BB,S,Equity
CGC,Canopy Growth Corporation,NYQ,NYSE,S,Equity
D,"Dominion Energy, Inc.",NYQ,NYSE,S,Equity
DIS,The Walt Disney Company,NYQ,NYSE,S,Equity
^DJI,Dow Jones Industrial Average,DJI,Dow Jones,I,Index
DAL,"Delta Air Lines, Inc.",NYQ,NYSE,S,Equity
DOW,Dow Inc.,NYQ,NYSE,S,Equity
DVN,Devon Energy Corporation,NYQ,NYSE,S,Equity
FANG,"Diamondback Energy, Inc.",NMS,NASDAQ,S,Equity
DGX,Quest Diagnostics Incorporated,NYQ,NYSE,S,Equity
DNR,Denbury Resources Inc.,NYQ,NYSE,S,Equity
DRAD,Digirad Corporation,NMS,NASDAQ,S,Equity
E,Eni S.p.A.,NYQ,NYSE,S,Equity
XOM,Exxon Mobil Corporation,NYQ,NYSE,S,Equity
ET,Energy Transfer LP,NYQ,NYSE,S,Equity
XLE,Energy Select Sector SPDR Fund,PCX,NYSEArca,E,ETF
EPD,Enterprise Products Partners L.P.,NYQ,NYSE,S,Equity
ENZ,"Enzo Biochem, Inc.",NYQ,NYSE,S,Equity
ENPH,"Enphase Energy, Inc.",NMS,NASDAQ,S,Equity
EXAS,Exact Sciences Corporation,NGM,NASDAQ,S,Equity
EOG,"EOG Resources, Inc.",NYQ,NYSE,S,Equity
ENB,Enbridge Inc.,NYQ,NYSE,S,Equity
F,Ford Motor Company,NYQ,NYSE,S,Equity
FB,"Facebook, Inc.",NMS,NASDAQ,S,Equity
FCEL,"FuelCell Energy, Inc.",NGM,NASDAQ,S,Equity
FNMA,Federal National Mortgage Association,OBB,OTC BB,S,Equity
FCX,Freeport-McMoRan Inc.,NYQ,NYSE,S,Equity
FDX,FedEx Corporation,NYQ,NYSE,S,Equity
FHN,First Horizon National Corporation,NYQ,NYSE,S,Equity
FSLY,"Fastly, Inc.",NYS,NYSE,S,Equity
G,Genpact Limited,NYQ,NYSE,S,Equity
GILD,"Gilead Sciences, Inc.",NMS,NASDAQ,S,Equity
GADS,"Gadsden Properties, Inc.",PNK,OTC Markets,S,Equity
GE,General Electric Company,NYQ,NYSE,S,Equity
^GSPC,S&P 500,SNP,SNP,I,Index
GOOG,Alphabet Inc.,NMS,NASDAQ,S,Equity
GM,General Motors Company,NYQ,NYSE,S,Equity
GERN,Geron Corporation,NMS,NASDAQ,S,Equity
GLD,SPDR Gold Shares,PCX,NYSEArca,E,ETF
GNPX,"Genprex, Inc.",NMS,NASDAQ,S,Equity
H,Hyatt Hotels Corporation,NYQ,NYSE,S,Equity
HTBX,"Heat Biologics, Inc.",NMS,NASDAQ,S,Equity
HAL,Halliburton Company,NYQ,NYSE,S,Equity
HD,"The Home Depot, Inc.",NYQ,NYSE,S,Equity
HON,Honeywell International Inc.,NYQ,NYSE,S,Equity
